Question,Answer
"Долго сливается вода, нарушение циркуляции",Горячее водоснабжение
не провоздушили в подвале нет ключей от бытовке на чердаке воздушника нет,Горячее водоснабжение
ГВС чуть теплая,Горячее водоснабжение
в ванной нет горячей воды,Горячее водоснабжение
"После устранения аварии (ММП ЖКХ) из крана ГВС идет холодная вода, холодный полотенцесушитель",Горячее водоснабжение
Из крана ГВС идет чуть теплая вода,Горячее водоснабжение
Горячая вода чуть теплая,Горячее водоснабжение
перекрыли горячую воду на дом сломана задвижка,Горячее водоснабжение
провоздушить горячую воду,Горячее водоснабжение
Запуск системы ГВС на 2м ТП Передала Лутова,Горячее водоснабжение
Нет ГВС,Горячее водоснабжение
Нет горячей воды на кухне,Горячее водоснабжение
Передавливает горячая вода,Горячее водоснабжение
нет горячей воды,Горячее водоснабжение
Подключить ГВС,Горячее водоснабжение
нет ГВС и ХВС,Горячее водоснабжение
нет ГВС,Горячее водоснабжение
"В столовой, нет ГВС",Горячее водоснабжение
Нет ГВС во всём подъезде Что-то со стояком,Горячее водоснабжение
нет воды,Горячее водоснабжение
потек на трубе гвс,Горячее водоснабжение
течь регистра горячей воды течь счетчика горячей воды,Горячее водоснабжение
течь воды с потолка перекрыли горячую воду по стояку кухни,Горячее водоснабжение
Течь перед входным краном.,Горячее водоснабжение
прорвало трубу с горячей водой,Горячее водоснабжение
лопнула труба ГВС,Горячее водоснабжение
течь крана с горячей водой на кухне,Горячее водоснабжение
"протечка вентиля на ГВС, засор в моечной",Горячее водоснабжение
течь горячей воды до счетчика,Горячее водоснабжение
ТЕЧЬ ГОРЯЧЕЙ ВОДЫ В ПОДВАЛЕ,Горячее водоснабжение
Нарушена циркуляция ГВС,Горячее водоснабжение
нет гвс,Горячее водоснабжение
нет ГВС в вечером и утром,Горячее водоснабжение
отсутствует горячая вода с субботы,Горячее водоснабжение
Отсутствие уборки двора,Уборка придомой территории
"наличие мелкого мусора на придомовой территории после оттаивания снега. Дома 12,18,15,17",Уборка придомой территории
двор давно не убирался,Уборка придомой территории
мусор летает по двору,Уборка придомой территории
уборка снега,Уборка придомой территории
чистка снега,Уборка придомой территории
Обильное выпадение снега. Ступени на крыльце засыпало снегом.,Уборка придомой территории
"Скопление снега на детской площадке на территории 28 дома, придомовой территории 18,32 домов.",Уборка придомой территории
"Ночью выпало обильное количество снега, просьба убрать.",Уборка придомой территории
"Обильное выпадение снега, появление наледи.",Уборка придомой территории
очистить дороги от снега,Уборка придомой территории
"Обильное выпадение снега, образование наледи д.32,27,17.",Уборка придомой территории
чистка снега,Уборка придомой территории
"Требуется сбор мусора, очистка урн Домов: 12,15,17,18,32,22,22А,27,28,29,30,31",Уборка придомой территории
чистка дороги от снега,Уборка придомой территории
Жильцы оставили пакеты с мусором возле дороги.,Уборка придомой территории
Лестницы и пандусы за ночь засыпало снегом.,Уборка придомой территории
"Обильное выпадение осадков в поселке на придомовых территориях домов 5,12,15,17,18,22а,22,32,27,31,30,29,28",Уборка придомой территории
Обильное выпадение осадков,Уборка придомой территории
"Обильное выпадение снега перед входной группой подъездов дома : 12,5,18,15,17",Уборка придомой территории
"Обильное выпадение снега, тяжело выходить с коляской на улицу",Уборка придомой территории
Дикие животные растаскивают мусор из урн.,Уборка придомой территории
"После обильного выпадения снега, затруднен спуск по летнице на крыльце и использование пандуса в 22а и 22 доме.",Уборка придомой территории
Выпало много снега,Уборка придомой территории
почистить снег,Уборка придомой территории
собрать мусор,Уборка придомой территории
чистка снега после трактора,Уборка придомой территории
отбить лёд перед подъездами,Уборка придомой территории
Выпало много снега перед подъездом.,Уборка придомой территории
вывести с подъездов крупногабаритный мусор,Уборка придомой территории
почистить снег,Уборка придомой территории
собрать мусор,Уборка придомой территории
отбить лёд,Уборка придомой территории
собрать мусор,Уборка придомой территории
уборка площади к 9 мая,Уборка придомой территории
собрать мусор с урн,Уборка придомой территории
Собрать мусор,Уборка придомой территории
во дворе много снега и льда,Уборка придомой территории
по всему двору лежит мусор,Уборка придомой территории
